section,key,value1,value2,value3,value4
META,title,Reading and Writing Fractions and Decimals,,,
META,unitNumber,05,,,
META,subject,영어,,,
META,category,SGR Class,,,
META,previewQuestion,How do you read fractions and decimals in English?,,,
META,passageTitle,Reading and Writing Fractions and Decimals,,,
META,vocabPreviewInstruction,Write the correct word next to its meaning.,,,
PREVIEW_CARD,,"A fraction like 1/4 can be read as ""one fourth"" or ""one out of four"".",,,
PREVIEW_CARD,,"The decimal 3.14 is read as ""three point one four"".",,,
PREVIEW_CARD,,"Some decimals such as 0.5 can also be read as fractions like ""one half"".",,,
VOCAB_PREVIEW,,confusing,difficult to understand because sth. is unclear,,
VOCAB_PREVIEW,,cardinal number,"a number, such as 1 and 2, that shows the quantity of sth.",,
VOCAB_PREVIEW,,ordinal number,"a number, such as first and second, that shows the order of sth.",,
VOCAB_PREVIEW,,individually,one by one; singly,,
PARAGRAPH,,It can sometimes look **confusing** to read or write a fraction or decimal. But it is actually really easy.,,,
PARAGRAPH,,"For fractions, the easiest way is to read the numerator as a **cardinal number** and the denominator as an **ordinal number**. So, 1/4 = one fourth, 4/9 = four ninths, and 7/15 = seven fifteenths.",,,
PARAGRAPH,,"But there are other ways to read fractions, too. You could say the fraction 3/4 is three fourths, three out of four, or three divided by four. So the fraction 2/3 is two thirds, two out of three, or two divided by three.",,,
PARAGRAPH,,Reading decimals is much easier. Just say each number **individually**. For example, 2.1 is two point one. 3.14 is three point one four. If there is a zero in front of the decimal point, you must say that, too. So 0.1 is zero point one.,,,
PARAGRAPH,,"You can also read some decimals as fractions. For instance, 0.5 is zero point five or one half.",,,
QUESTION_MC,,main_idea,What is the main idea of the passage?,It is easy to read and write fractions and decimals.|It is possible to write a fraction as a decimal.|It is all right to convert decimals into fractions.,0
QUESTION_MC,,multiple_choice,We can read 1/4 as ___.,one four|one third|one fourth,2
QUESTION_MC,,multiple_choice,How do you read decimals?,You read the numbers like fractions.|You read the numbers from right to left.|You read each number individually.,2
QUESTION_MC,,vocabulary,What does confusing mean?,exciting|puzzling|interesting,1
QUESTION_COMPLETE,wordBank,2/3|four|point,,,
QUESTION_COMPLETE,,We can write two thirds as ___.,2/3,,
QUESTION_COMPLETE,,We can read the fraction 3/4 as three out of ___.,four,,
QUESTION_COMPLETE,,We can read the decimal 3.14 as three ___ one four.,point,,
QUESTION_OUTLINE,title,left,Reading Fractions,,
QUESTION_OUTLINE,title,right,Reading Decimals,,
QUESTION_OUTLINE,,left,The Easiest Way: Read the ___ as a cardinal number and the denominator as an ordinal number.,numerator,
QUESTION_OUTLINE,,left,1/4 = one fourth / 4/9 = four ___,ninths,
QUESTION_OUTLINE,,left,Other Ways: 3/4 = three out of four,,
QUESTION_OUTLINE,,left,3/4 = three ___ by four,divided,
QUESTION_OUTLINE,,right,Say each number individually.,,
QUESTION_OUTLINE,,right,3.14 = three point one four,,
QUESTION_OUTLINE,,right,0.1 = ___ point one,zero,
VOCAB_REVIEW_BANK,,confusing,,,
VOCAB_REVIEW_BANK,,cardinal number,,,
VOCAB_REVIEW_BANK,,ordinal number,,,
VOCAB_REVIEW_BANK,,individually,,,
VOCAB_REVIEW,,The directions were so ___ that no one understood them.,confusing,,
VOCAB_REVIEW,,"One, two, and three are examples of a ___.",cardinal number,,
VOCAB_REVIEW,,"First, second, and third are examples of an ___.",ordinal number,,
VOCAB_REVIEW,,The teacher checked each student's homework ___.,individually,,
DIRECT_READING,,It can sometimes look confusing to read or write a fraction or decimal.,분수나 소수를 읽거나 쓰는 것은 때때로 혼란스러워 보일 수 있다.,It can sometimes look confusing|to read or write|a fraction or decimal,
DIRECT_READING,,"For fractions, the easiest way is to read the numerator as a cardinal number and the denominator as an ordinal number.","분수의 경우, 가장 쉬운 방법은 분자를 기수로 읽고 분모를 서수로 읽는 것이다.",For fractions|the easiest way is|to read the numerator as a cardinal number|and the denominator as an ordinal number,
DIRECT_READING,,"But there are other ways to read fractions, too.","하지만 분수를 읽는 다른 방법들도 있다.",But there are other ways|to read fractions|too,
DIRECT_READING,,Reading decimals is much easier.,소수를 읽는 것은 훨씬 더 쉽다.,Reading decimals|is much easier,
DIRECT_READING,,Just say each number individually.,각 숫자를 개별적으로 말하기만 하면 된다.,Just say|each number|individually,
DIRECT_READING,,"If there is a zero in front of the decimal point, you must say that, too.","만약 소수점 앞에 0이 있다면, 그것도 말해야 한다.",If there is a zero|in front of the decimal point|you must say that|too,
DIRECT_READING,,You can also read some decimals as fractions.,어떤 소수는 분수로도 읽을 수 있다.,You can also read|some decimals|as fractions,
